year|quarter|beneficiary_name|ward|amount_kwacha|project_type|source
2022|Q1|Nachuumbwa Farmers|Mbeza|40000|Dairy Animals|Zambia Monitor
2022|Q1|Koonje Women's Club|Namakube|20000|Goat Rearing|Zambia Monitor
2022|Q1|Twaange Women's Club|Katengwa|20000|Sheep Rearing|Zambia Monitor
2022|Q1|Tupone Nalumba Club|Chitongo|20000|Piggery|Zambia Monitor
2022|Q2|Mayusa Women's Club|Itapa|40000|Oil Extractor Business|Zambia Monitor
2022|Q2|Munyawangombe Multipurpose Cooperative|Itapa|15000|Chicken Rearing Business|Zambia Monitor
2022|Q2|New Zuma Club|Ichila|40000|Cattle Feedlot Business|Zambia Monitor
2022|Q2|Masele Widows|Namwala Central|20000|Incubator|Zambia Monitor
2022|Q2|Masele Multipurpose Cooperative Society|Namwala Central|20000|Goat Rearing Business|Zambia Monitor
2022|Q2|Everest Women's Club|Namwala Central|15000|Poultry Business|Zambia Monitor
2022|Q2|Namayovu Women's Dream|Namakube|40000|Hammer Mill|Zambia Monitor
2022|Q2|Chikamba Women's Club|Moobola|20000|Cattle Rearing Business|Zambia Monitor
