attribute|value|source
council_name|Namwala Town Council|Ministry of Local Government and Rural Development (MLGRD) council directory
council_type|Town Council|MLGRD council directory
project_team_assignment|Project Team #49|CSC 4792 Mini Project Specification (2026)
province|Southern Province|Wikipedia - Namwala District
district|Namwala District|Wikipedia - Namwala District
official_website|https://www.namwalacouncil.gov.zm|CSC 4792 Mini Project Specification Appendix A
website_scraping_status|Blocked by site robots.txt at time of collection (September 2026)|Direct access attempt, September 2026
seat_of_district|Namwala (town)|Wikipedia - Namwala
town_elevation_m|996|Wikipedia - Namwala
town_population_est|over 5000|Wikipedia - Namwala
district_population_2000_census|82810|Zambia Central Statistical Office / citypopulation.de
district_population_2010_census|102866|Zambia Central Statistical Office / citypopulation.de
district_population_2022_census|168715|Zambia Central Statistical Office / citypopulation.de
district_population_2022_male|82999|Zambia Central Statistical Office / citypopulation.de
district_population_2022_female|85716|Zambia Central Statistical Office / citypopulation.de
district_population_2022_rural|153101|Zambia Central Statistical Office / citypopulation.de
district_population_2022_urban|15614|Zambia Central Statistical Office / citypopulation.de
district_area_km2|5678.4|Wikipedia - Namwala District
principal_ethnic_group|Ila people|Wikipedia - Namwala District
main_economic_activity|Cattle/livestock farming, fishing, subsistence farming|Wikipedia - Namwala District
notable_cultural_event|Shimunenga traditional ceremony (Sept/Oct annually, Maala village)|Wikipedia - Namwala District
governing_legislation_1|Local Government Act No. 2 of 2019|Local Government Act, 2019 (zambialii.org)
governing_legislation_2|Local Government (Amendment) Act No. 28 of 2023 - reformed LGEF into a recurrent grant|Local Government (Amendment) Act, 2023 (zambialii.org)
governing_legislation_3|Local Government (Amendment) Act No. 76 of 2026 - CDF raised to K40 million per constituency in 2026, pension reforms|Local Government (Amendment) Act, 2026 (zambialii.org)
former_parliamentary_constituency|Namwala (abolished; split into Namwala West and Namwala East)|Wikipedia - Namwala (constituency)
data_collection_date|2026-09-12|Compiled for CSC 4792 Mini Project
