facility_code|facility_name|facility_type|ward|latitude|longitude|source
F134472|Chinyemu Community|Primary School|Namwala Central|-15.7989|26.4732|Smart Zambia PDU Digital Navigator
F134482|Ireen Academy Private|Primary School|Namwala Central|-15.7617|26.4571|Smart Zambia PDU Digital Navigator
F134474|Kalundu Primary|Primary School|Namwala Central|-15.7616|26.4012|Smart Zambia PDU Digital Navigator
F134467|Lubanga Secondary|Combined School|Namwala Central|-15.7543|26.4455|Smart Zambia PDU Digital Navigator
F134466|Lubanga Primary|Primary School|Namwala Central|-15.7543|26.4455|Smart Zambia PDU Digital Navigator
F107409|Maseele Rural Health Centre|Health Centre|Namwala Central|-15.7606|26.4189|Smart Zambia PDU Digital Navigator
F134473|Mwachimpu Community|Primary School|Namwala Central|-15.7768|26.469|Smart Zambia PDU Digital Navigator
F134381|Namayovu Primary|Primary School|Namwala Central|-15.7504|26.4359|Smart Zambia PDU Digital Navigator
F134483|Namonde Private|Primary School|Namwala Central|-15.7549|26.4354|Smart Zambia PDU Digital Navigator
F134480|Namwala Central Community|Primary School|Namwala Central|-15.7489|26.4464|Smart Zambia PDU Digital Navigator
F134475|Namwala Central Day Secondary|Secondary School|Namwala Central|-15.7571|26.4373|Smart Zambia PDU Digital Navigator
F103833|Namwala District Hospital|1st Level Hospital|Namwala Central|-15.752|26.4431|Smart Zambia PDU Digital Navigator
F121413|Namwala Hospital Affiliated Health Centre|Health Centre|Namwala Central|-15.7757|26.5022|Smart Zambia PDU Digital Navigator
F130894|Namwala Post Office|Post Office|Namwala Central|-15.7504|26.4365|Smart Zambia PDU Digital Navigator
F134470|Namwala Secondary|Secondary School|Namwala Central|-15.7463|26.4415|Smart Zambia PDU Digital Navigator
F103440|Baambwe Rural Health Centre|Health Centre|Baambwe|-15.7766|26.5177|Smart Zambia PDU Digital Navigator
F134476|Inongwe Central Community|Primary School|Namwala Central|-15.8248|26.5092|Smart Zambia PDU Digital Navigator
