ward_name|district|population_census_2010|source
Baambwe|Namwala|4069|Zambia CSO 2010 Census (citypopulation.de)
Chitongo|Namwala|4939|Zambia CSO 2010 Census (citypopulation.de)
Itapa|Namwala|7117|Zambia CSO 2010 Census (citypopulation.de)
Kabulamwanda|Namwala|7221|Zambia CSO 2010 Census (citypopulation.de)
Kantengwa|Namwala|4506|Zambia CSO 2010 Census (citypopulation.de)
Maala|Namwala|5776|Zambia CSO 2010 Census (citypopulation.de)
Mandondo|Namwala|4474|Zambia CSO 2010 Census (citypopulation.de)
Mbeza|Namwala|5122|Zambia CSO 2010 Census (citypopulation.de)
Moobola|Namwala|12748|Zambia CSO 2010 Census (citypopulation.de)
Nakamboma|Namwala|13614|Zambia CSO 2010 Census (citypopulation.de)
Namakube|Namwala|10943|Zambia CSO 2010 Census (citypopulation.de)
Namwala Central|Namwala|10300|Zambia CSO 2010 Census (citypopulation.de)
Ndema|Namwala|9308|Zambia CSO 2010 Census (citypopulation.de)
Ngabo|Namwala|2729|Zambia CSO 2010 Census (citypopulation.de)
